metro,ccode,year,qtr,period,lh_emp,total_emp,lh_share,is_host,lh_imputed,cohort,treated,d,log_lh
Boston,C1446,2017,3,14,286318.3333333333,2648299.0,0.1081140510695104,0,False,,0,0,12.564859524430137
Boston,C1446,2017,4,15,273930.3333333333,2673371.0,0.10246626200902655,0,False,,0,0,12.520629095133643
Boston,C1446,2018,1,16,263693.6666666667,2628564.3333333335,0.10031851354091517,0,False,,0,0,12.482543354861708
Boston,C1446,2018,2,17,284646.3333333333,2690395.0,0.10580094496656933,0,False,,0,0,12.559002752980026
Boston,C1446,2018,3,18,291150.0,2679052.0,0.1086765019865236,0,False,,0,0,12.581593877265266
Boston,C1446,2018,4,19,275777.0,2709471.0,0.10178259889107505,0,False,,0,0,12.52734784710029
Boston,C1446,2019,1,20,264415.3333333333,2672536.6666666665,0.09893796280936588,0,False,,0,0,12.485276378218133
Boston,C1446,2019,2,21,289236.6666666667,2736166.6666666665,0.10570871657428277,0,False,,0,0,12.575000547767587
Boston,C1446,2019,3,22,296243.6666666667,2726694.3333333335,0.10864571912045391,0,False,,0,0,12.598937592862592
Boston,C1446,2019,4,23,281133.3333333333,2752784.3333333335,0.10212690109032635,0,False,,0,0,12.546584331626487
Boston,C1446,2020,1,24,263874.3333333333,2696115.6666666665,0.09787203738909817,0,False,,0,0,12.48322825869867
Boston,C1446,2020,2,25,132059.33333333334,2304374.0,0.057308116361898434,0,False,,0,0,11.791006595525412
Boston,C1446,2020,3,26,190327.0,2443234.3333333335,0.07789960930204129,0,False,,0,0,12.156498924460196
Boston,C1446,2020,4,27,185953.0,2525988.0,0.07361594750252179,0,False,,0,0,12.13324923259226
Boston,C1446,2021,1,28,172313.33333333334,2486884.6666666665,0.06928883178337986,0,False,,0,0,12.057069803929044
Boston,C1446,2021,2,29,213272.66666666666,2572763.6666666665,0.08289633028866106,0,False,,0,0,12.270326751225507
Boston,C1446,2021,3,30,243026.33333333334,2597174.3333333335,0.09357336171631657,0,False,,0,0,12.400925084078224
Boston,C1446,2021,4,31,237442.66666666666,2648529.3333333335,0.08965075964170303,0,False,,0,0,12.377681469805545
Boston,C1446,2022,1,32,228912.66666666666,2612064.6666666665,0.0876366766825834,0,False,,0,0,12.341095841529173
Boston,C1446,2022,2,33,259250.33333333334,2684098.3333333335,0.09658749462109871,0,False,,0,0,12.465549411851153
Boston,C1446,2022,3,34,270875.6666666667,2687105.0,0.10080576183910442,0,False,,0,0,12.509415199995454
Boston,C1446,2022,4,35,255526.0,2707281.3333333335,0.0943847234692023,0,False,,0,0,12.451079444701017
Boston,C1446,2023,1,36,247343.0,2664918.0,0.09281448810057195,0,False,,0,0,12.418531316275617
Boston,C1446,2023,2,37,272659.0,2716550.6666666665,0.10036956179233175,0,False,,0,0,12.515977209162061
Boston,C1446,2023,3,38,283308.0,2707780.3333333335,0.10462739407344834,0,False,,0,0,12.554289924036214
Boston,C1446,2023,4,39,268664.3333333333,2726610.3333333335,0.09853418732000696,0,False,,0,0,12.501218047919417
Boston,C1446,2024,1,40,256071.66666666666,2674312.0,0.09575235300393771,0,False,,0,0,12.453212632200259
Boston,C1446,2024,2,41,281419.6666666667,2725336.0,0.10326053986248547,0,False,,0,0,12.547602309872305
Boston,C1446,2024,3,42,287397.0,2707760.0,0.10613828404289893,0,False,,0,0,12.56861981415922
Boston,C1446,2024,4,43,271731.3333333333,2726456.0,0.09966466846827285,0,False,,0,0,12.51256911203844
Boston,C1446,2025,1,44,257261.0,2665283.3333333335,0.0965229462783819,0,False,,0,0,12.457846412743242
Boston,C1446,2025,2,45,282680.0,2714663.6666666665,0.10413076340580436,0,False,,0,0,12.552070794804791
Charlotte,C1674,2014,1,0,112748.33333333333,1022922.0,0.11022182857865344,0,False,,0,0,11.63291347528967
Charlotte,C1674,2014,2,1,121351.0,1045643.0,0.11605394957934974,0,False,,0,0,11.706442451747082
Charlotte,C1674,2014,3,2,121976.0,1041261.6666666666,0.11714250500594632,0,False,,0,0,11.711579583051742
Charlotte,C1674,2014,4,3,118236.0,1073256.0,0.11016570137972674,0,False,,0,0,11.680437906110475
Charlotte,C1674,2015,1,4,117370.66666666667,1065769.0,0.11012767932513207,0,False,,0,0,11.673092297121206
Charlotte,C1674,2015,2,5,125866.33333333333,1086894.6666666667,0.11580361666447897,0,False,,0,0,11.742975776276781
Charlotte,C1674,2015,3,6,127474.33333333333,1084049.0,0.11759093300518088,0,False,,0,0,11.755670316126063
Charlotte,C1674,2015,4,7,124745.33333333333,1114644.0,0.1119149552084193,0,False,,0,0,11.73402960476443
Charlotte,C1674,2016,1,8,124649.66666666667,1107689.0,0.11253128510499488,0,False,,0,0,11.73326241479383
Charlotte,C1674,2016,2,9,133405.66666666666,1127879.6666666667,0.11828005292526772,0,False,,0,0,11.801149890322083
Charlotte,C1674,2016,3,10,133734.66666666666,1126891.0,0.11867577846186246,0,False,,0,0,11.803613016441837
Charlotte,C1674,2016,4,11,130934.0,1148453.6666666667,0.11400895290798264,0,False,,0,0,11.78244865843107
Charlotte,C1674,2017,1,12,128765.33333333333,1140555.0,0.11289708372970468,0,False,,0,0,11.765746905286006
